0,42,43,0.906653,1.0,0.906653,1.0
0,39,44,0.906653,1.0,0.906653,1.0
0,40,41,1.813306,2.0,1.813306,2.0
0,37,38,1.813306,2.0,1.813306,2.0
1,39,44,0.8983197,1.0,0.8983197,1.0
1,40,41,1.7966394,2.0,1.7966394,2.0
1,37,38,1.7966394,2.0,1.7966394,2.0
1,42,43,0.8983197,1.0,0.8983197,1.0
1,45,46,0.8983197,1.0,0.8983197,1.0
2,37,38,1.7966394,2.0,1.7966394,2.0
2,45,46,0.8983197,1.0,0.8983197,1.0
2,42,43,0.8983197,1.0,0.8983197,1.0
2,39,44,0.8983197,1.0,0.8983197,1.0
2,40,41,1.7966394,2.0,1.7966394,2.0
3,37,38,1.7799728,2.0,1.7799728,2.0
3,45,46,0.8899864,1.0,0.8899864,1.0
3,42,43,0.8899864,1.0,0.8899864,1.0
3,39,44,0.8899864,1.0,0.8899864,1.0
3,40,41,1.7799728,2.0,1.7799728,2.0
4,42,43,0.8899864,1.0,0.8899864,1.0
4,45,46,0.8899864,1.0,0.8899864,1.0
4,39,44,0.8899864,1.0,0.8899864,1.0
4,40,41,1.7799728,2.0,1.7799728,2.0
4,37,38,1.7799728,2.0,1.7799728,2.0
5,45,46,0.8899864,1.0,0.8899864,1.0
5,42,43,0.8899864,1.0,0.8899864,1.0
5,39,44,0.8899864,1.0,0.8899864,1.0
5,40,41,1.7799728,2.0,1.7799728,2.0
5,37,38,1.7799728,2.0,1.7799728,2.0
6,39,44,0.8816531,1.0,0.8816531,1.0
6,37,38,1.7633062,2.0,1.7633062,2.0
6,40,41,1.7633062,2.0,1.7633062,2.0
6,42,43,0.8816531,1.0,0.8816531,1.0
6,45,46,0.8816531,1.0,0.8816531,1.0
7,45,46,0.8816531,1.0,0.8816531,1.0
7,42,43,0.8816531,1.0,0.8816531,1.0
7,40,41,1.7633062,2.0,1.7633062,2.0
7,37,38,1.7633062,2.0,1.7633062,2.0
7,39,44,0.8816531,1.0,0.8816531,1.0
8,45,46,0.8816531,1.0,0.8816531,1.0
8,42,43,0.8816531,1.0,0.8816531,1.0
8,39,44,0.8816531,1.0,0.8816531,1.0
8,40,41,1.7633062,2.0,1.7633062,2.0
8,37,38,1.7633062,2.0,1.7633062,2.0
9,45,46,0.8816531,1.0,0.8816531,1.0
9,42,43,0.8816531,1.0,0.8816531,1.0
9,40,41,1.7633062,2.0,1.7633062,2.0
9,39,44,0.8816531,1.0,0.8816531,1.0
9,37,38,1.7633062,2.0,1.7633062,2.0
10,45,46,0.8816531,1.0,0.8816531,1.0
10,42,43,0.8816531,1.0,0.8816531,1.0
10,40,41,1.7633062,2.0,1.7633062,2.0
10,39,44,0.8816531,1.0,0.8816531,1.0
10,37,38,1.7633062,2.0,1.7633062,2.0
11,45,46,0.8816531,1.0,0.8816531,1.0
11,42,43,0.8816531,1.0,0.8816531,1.0
11,40,41,1.7633062,2.0,1.7633062,2.0
11,39,44,0.8816531,1.0,0.8816531,1.0
11,37,38,1.7633062,2.0,1.7633062,2.0
12,42,43,0.8816531,1.0,0.8816531,1.0
